Last Price,Open Price,Max,Min,Size,Change Persent,Class
44614.2,41510.0,44697.3,37365.4,480.25,0.0737,Bitcoin
47081.5,44584.9,48090.9,42824.1,603.00,0.0553,Bitcoin
48875.8,47082.6,49719.1,43986.7,404.44,0.0381,Bitcoin
48897.1,48870.4,50498.8,46360.4,455.60,4.0E4,Bitcoin
49918.4,48899.7,51008.8,46533.1,503.54,0.0209,Bitcoin
45161.9,49918.7,52885.3,43072.4,635.39,0.0953,Bitcoin
48306.7,45162.6,48761.0,43463.2,428.09,0.0696,Bitcoin
42686.8,48299.9,48341.9,39646.8,682.37,0.1163,Bitcoin
47666.9,42685.8,48435.2,40786.6,486.08,0.1167,Bitcoin
54942.5,47665.4,55977.9,46958.6,506.29,0.1526,Bitcoin
60861.1,54942.5,62892.8,54100.8,628.28,0.1077,Bitcoin
61312.5,60865.5,66967.1,59143.4,545.11,0.0074,Bitcoin
61840.1,61308.2,63694.8,58112.6,449.83,0.0086,Bitcoin
61483.9,61842.2,64256.4,59612.7,375.25,0.0058,Bitcoin
64398.6,61483.8,68990.6,61347.2,451.59,0.0474,Bitcoin
59717.6,64397.2,66311.2,55626.3,521.73,0.0727,Bitcoin
54765.9,59724.0,60002.6,53533.5,512.69,0.0829,Bitcoin
49195.2,54758.0,59174.4,42587.8,485.37,0.1017,Bitcoin
49314.5,49196.4,51918.6,46834.0,470.49,0.0024,Bitcoin
46856.2,49332.5,50779.2,45513.4,446.80,0.0498,Bitcoin
50406.4,46855.7,51795.3,45577.3,343.62,0.0758,Bitcoin
47738.0,50404.0,52016.3,45693.6,391.96,0.0529,Bitcoin
41672.0,47738.7,47944.9,40574.3,446.80,0.1271,Bitcoin
43097.0,41681.2,44404.7,39697.0,391.26,0.0342,Bitcoin
35075.2,43079.2,43487.1,34116.0,541.76,0.1861,Bitcoin
38170.8,35072.9,38862.6,32985.6,630.11,0.0883,Bitcoin
41412.1,38167.5,41899.8,36297.3,451.36,0.0849,Bitcoin
42205.2,41411.9,45755.2,41176.3,473.29,0.0192,Bitcoin
40090.3,42205.5,44722.6,39505.0,376.77,0.0501,Bitcoin
39115.5,40089.6,40120.3,34357.4,635.91,0.0243,Bitcoin
39395.8,39116.6,45294.2,37062.3,6.23,0.0072,Bitcoin
38814.3,39396.3,42538.5,37182.1,20.31,0.0148,Bitcoin
42233.0,38813.2,42386.0,37603.4,17.07,0.0881,Bitcoin
44548.0,42241.0,45112.0,40530.0,3.16,0.0548,Bitcoin
45811.0,44542.0,48199.0,44261.0,3.66,0.0284,Bitcoin
42767.0,45813.0,47435.0,42113.0,3.23,0.0664,Bitcoin
40382.0,42760.0,43421.0,39202.0,2.49,0.0558,Bitcoin
39418.0,40382.0,42969.0,38577.0,2.66,0.0239,Bitcoin
37650.0,39434.0,40770.0,37596.0,3.35,0.0449,Bitcoin
35468.0,37642.0,40021.0,34773.0,4.43,0.058,Bitcoin
30080.4,35468.0,35497.0,26500.5,672.43,0.1519,Bitcoin
29434.6,30078.6,31383.8,28648.1,630.05,0.0215,Bitcoin
29027.1,29433.0,30644.8,28077.9,658.54,0.0138,Bitcoin
29864.3,29027.1,32377.5,28838.7,610.88,0.0288,Bitcoin
28403.4,29865.1,31753.4,28161.8,614.26,0.0489,Bitcoin
18986.5,28404.0,28534.8,17630.5,1.44,0.3315,Bitcoin
21489.9,18983.4,21689.3,17983.7,889.96,0.1319,Bitcoin
19243.2,21489.9,21837.4,18682.7,742.87,0.1045,Bitcoin
21587.5,19243.4,22482.1,18794.4,1.39,0.1218,Bitcoin
21209.9,21587.4,21599.2,18942.2,1.31,0.0175,Bitcoin
22460.4,21209.8,24258.0,20755.2,1.61,0.059,Bitcoin
23634.2,22449.8,24605.3,20737.3,1.49,0.0523,Bitcoin
22944.2,23634.2,24179.3,22438.7,1.25,0.0292,Bitcoin
24442.5,22944.2,24882.9,22714.7,1.39,0.0653,Bitcoin
21138.9,24442.1,25205.7,20784.8,1.73,0.1352,Bitcoin
20033.9,21138.9,21832.3,19849.8,1.7,0.0523,Bitcoin
19831.4,20034.2,20558.2,19542.9,1.85,0.0101,Bitcoin
21650.4,19832.2,21790.6,18548.4,2.38,0.0917,Bitcoin
20113.5,21650.4,22702.5,19352.9,2.58,0.071,Bitcoin
18925.2,20113.9,20113.9,18191.8,2.82,0.0591,Bitcoin
19311.9,18925.1,20361.2,18505.3,3.37,0.0204,Bitcoin
19415.0,19311.9,20436.7,18937.3,2.17,0.0053,Bitcoin
19068.7,19416.3,19933.9,18207.9,2.12,0.0178,Bitcoin
19204.8,19068.8,19692.9,18703.3,1.72,0.0071,Bitcoin
20809.8,19204.8,21038.1,19092.5,2.25,0.0836,Bitcoin
21301.6,20809.4,21464.7,20065.8,2.62,0.0236,Bitcoin
16795.2,21298.7,21360.4,15603.3,4.02,0.2116,Bitcoin
16699.2,16803.9,17158.4,15834.0,1.58,0.0057,Bitcoin
16456.5,16699.3,16785.6,15504.2,1.78,0.0145,Bitcoin
16884.5,16456.4,17244.7,16013.5,1.79,0.026,Bitcoin
17127.2,16884.8,17395.2,16715.3,1.73,0.0144,Bitcoin
16777.1,17127.0,18351.8,16542.4,1.94,0.0204,Bitcoin
16837.2,16777.0,17031.3,16331.2,1.35,0.0036,Bitcoin
16537.4,16835.7,16964.0,16360.0,1.24,0.0178,Bitcoin
